t_s,mx_uT,my_uT,mz_uT
58.74,34.79834586784483,15.769124273389181,-39.70199889115037
58.741,34.983169287742605,15.809286373023802,-39.54924422934161
58.742000000000004,35.18953450208139,15.46456752956038,-39.39980720044706
58.743,35.201517797254844,15.480230064572096,-39.615231394972255
58.744,35.39523984272714,15.142401159527756,-39.42801230331375
58.745000000000005,35.57251964509924,15.061195392738716,-39.38183705654087
58.746,36.05284483818094,15.083588679660446,-39.49256278344477
58.747,35.78492872267106,14.937555849052943,-39.18730223701995
58.748000000000005,36.06767380792443,14.735298690259476,-39.323838236392874
58.749,36.21350661354758,14.747847009495844,-39.32654770160073
58.75,36.217217392368134,14.403019130647637,-39.21256170102186
58.751000000000005,36.484146975997746,14.382123672015066,-39.401741362108396
58.752,36.67234294108246,14.28987915658329,-39.19554646544862
58.753,36.80289059571609,14.469932147071969,-38.98133380904806
58.754,37.0636459302552,14.238652486163327,-39.11654710382658
58.755,37.080379967542896,14.006695470210191,-38.883365987509094
58.756,37.202371440145974,13.807155645863894,-38.917024550833595
58.757,37.314987488693994,13.8566509210033,-38.76923068221249
58.758,37.50810149717098,13.675419420575965,-38.78226401900399
58.759,37.741377255402504,13.376460342095603,-38.8480188017333
58.76,37.652373827478776,13.545118266974647,-38.595545751903565
58.761,37.97443532671641,13.388033767514738,-38.650722339131875
58.762,37.86402390192227,13.165222218166882,-38.76896258630034
58.763,38.21513983863253,13.058858918709195,-38.5222023284901
58.764,38.43791669026193,12.83928423772445,-38.63102910522379
58.765,38.35531919163728,12.944444558884218,-38.36212823489829
58.766,38.53817854707784,12.629315866097329,-38.40484472268536
58.767,38.591348736533845,12.53667399892718,-38.486295715640715
58.768,38.75050146365497,12.322546468383466,-38.4053574031754
58.769,38.91791588972069,12.318396690654087,-38.26491025008424
58.77,39.06975506119295,12.159878570338996,-38.30944389656949
58.771,39.123825557032646,12.153524834626944,-38.232941713934096
58.772,39.09941228582266,12.0206149385237,-38.03611049662699
58.773,39.29820157271066,11.921980143161772,-38.11940274331943
58.774,39.527188214561676,11.731182391796763,-37.86076650653025
58.775,39.8158334167635,11.607934496011818,-38.04683786028633
