t,mx_uT,my_uT,mz_uT
18.09,-14.106729388015387,-24.50804673625527,-42.425638651607905
18.1,-14.926049246331257,-24.14359260321844,-42.33176066565698
18.11,-15.722605381971178,-23.3661855972775,-42.47880989237128
18.12,-16.477506083288404,-22.925249052518566,-42.13732462924305
18.13,-17.14059711818406,-22.61059447370865,-42.15975114659314
18.14,-18.038119881908976,-22.234276942004882,-42.252989931297115
18.150000000000002,-18.798348807328537,-21.534432347014565,-42.04023188297394
18.16,-19.37729203003118,-21.334454699335616,-42.024687577496216
18.17,-20.111725567245212,-21.071345807278256,-41.64557260809186
18.18,-20.767182896606865,-20.38981355642256,-41.71719063951132
18.19,-21.250672072812296,-20.17070310853129,-41.51453289379091
18.2,-21.816412779301764,-19.72069407621104,-41.32365461761909
18.21,-22.650545759303323,-19.401753874697317,-40.93017718357196
18.22,-23.133075222866754,-19.076270340913002,-40.650447871629964
18.23,-23.8136862497611,-18.986141164360905,-40.55526557917362
18.240000000000002,-24.486442708767708,-18.55639341873487,-40.39588547110383
18.25,-24.982081578317448,-18.35565020773775,-39.82748047030528
18.26,-25.36968067016447,-18.311851998192747,-39.8681476417783
18.27,-25.796958163085357,-18.08922837193149,-39.377397342099215
18.28,-26.3744155271986,-18.03039337334428,-39.327757376228156
18.29,-26.939180758293972,-17.830470011501824,-38.92494131231124
18.3,-27.427691106695463,-17.777266812914522,-38.73031899726128
18.31,-27.77358082572748,-17.6757293149857,-38.30174429228118
18.32,-27.938929041297154,-18.04041854184345,-38.07862852359805
18.330000000000002,-28.733008124484037,-17.819491051218243,-37.51335109522811
18.34,-28.871620961005874,-17.549627295204118,-37.3832792378028
18.35,-29.134075730050057,-17.953822983220736,-37.270935160626905
18.36,-29.66770281801626,-18.005717661360965,-36.97328495212126
18.37,-29.919752836518374,-18.144940400449368,-36.6750746093258
18.38,-30.453929031965664,-18.214351373091883,-36.234804987413796
18.39,-30.50030284456002,-18.408788968019604,-36.05458085116573
18.400000000000002,-30.824260919599794,-18.367720630945175,-35.60093639660777
18.41,-30.794572588182213,-18.86103623155514,-35.54185362834138
18.42,-31.177657849074908,-19.123969070621655,-35.13513213212244
18.43,-31.243683744379002,-19.338012545392132,-34.772795624950845
18.44,-31.455121642053925,-19.477967478620485,-34.58764488276755
18.45,-31.450746333624373,-19.918166555439562,-34.35575071273611
18.46,-31.64324936582517,-20.23632400739978,-34.15393045163613
18.47,-31.594844547981335,-20.584334548331228,-33.77483980852215
18.48,-31.62923573612738,-21.045409927677916,-33.49697904296205
18.490000000000002,-31.43139863718071,-21.265732195740846,-33.31879637569887
18.5,-31.441541248461338,-21.704823794488398,-33.10748472566567
18.51,-31.423251043110433,-22.082935979575115,-33.16542271182848
18.52,-31.292918731081812,-22.42489939129286,-32.907583705060595
18.53,-31.14587633796048,-23.164232223394986,-32.89086303212958
18.54,-30.994381798273256,-23.46569512759507,-32.52769693714374
18.55,-30.847823463856482,-23.973763324214783,-32.37156207807227
18.56,-30.51711040237115,-24.4891029011076,-32.35996723177606
18.57,-30.299314142410093,-24.880142576002758,-32.44169361886636
18.580000000000002,-29.848822712133966,-25.530268043972374,-32.165749676859285
18.59,-29.50931472045851,-25.809142204632046,-32.214108507350254
18.6,-29.26734186829406,-26.279210671003263,-32.28827277572887
18.61,-28.786001076464192,-26.97105713044507,-32.163342699964836
18.62,-28.26077992393295,-27.257021296458444,-32.009611722631924
18.63,-27.73922294838827,-27.851111266338705,-32.00858858025248
18.64,-27.56486396199769,-28.359618864259392,-32.25141190475334
18.650000000000002,-26.70923382987398,-28.665250223437475,-32.306950032025696
18.66,-26.279564612711635,-29.09498730094448,-32.43781201100139
18.67,-25.442544285002704,-29.577227610786817,-32.456137658553004
18.68,-24.910692016786548,-30.044716168043355,-32.7506366106567
18.69,-24.284231018914685,-30.45189169427642,-32.934156435327715
18.7,-23.262297918618067,-30.890084308906555,-32.9393363268668
18.71,-22.67127937498761,-31.17211824639563,-33.15428395801927
18.72,-21.751009493821208,-31.44899955538836,-33.259385504683934
18.73,-20.7947445111994,-31.87978652422346,-33.57886947955079
18.740000000000002,-20.08406366996009,-32.34562929766785,-33.72626722622956
18.75,-19.151570168010903,-32.47470878294215,-34.12982914910786
18.76,-18.184393291347494,-32.75070179183203,-34.433331589745755
18.77,-17.134114878918467,-33.28676280128366,-34.47526950188394
18.78,-16.279576283634775,-33.30438285032668,-34.73308878797676
18.79,-15.24435001557813,-33.53454549444249,-35.193667196101195
18.8,-14.254124471137631,-33.81501863825866,-35.68840318849121
18.81,-13.332370292643947,-33.79290269291022,-36.128794843599
18.82,-12.139235814288192,-33.732732206547425,-36.321771734153145
