t,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
215.02,0.007807945588273795,-0.0054444378666755715,0.0036169520353567385,0.20375407378062738,-0.08481951024465598,-9.504061199794084,37.32816212706625,-5.209883030717759,45.98177220940979
215.03,0.009139883151445512,-0.006103474587919149,0.003468636167490482,0.21849021505758362,-0.09005947541132285,-9.488753411041284,37.54526970107967,-5.584948654203517,45.747406630187015
215.04,0.00838074055480451,-0.005098868495798022,0.003470140137762105,0.21482651251820298,-0.08995656012968414,-9.492548930461108,37.66969489312985,-5.605395237408378,45.82376666638416
215.05,0.009377983559547774,-0.005343061364484793,0.002993552540102042,0.2051858537513063,-0.09101753246342892,-9.49160844923009,37.69768743451859,-5.506380473117031,45.90801716421345
215.06,0.00916952264698965,-0.006179212422375556,0.00302403417166547,0.21818240884794757,-0.09136395103897875,-9.481946324786286,37.51290213484355,-5.5713300392976945,45.76746792821488
215.07,0.00864211207135951,-0.006439590106944168,0.00412487478070377,0.2019401478322801,-0.0827913826732129,-9.510287073947925,37.445269472273715,-5.413796592552529,45.98185944233778
215.08,0.008436894251127416,-0.005856203996880415,0.003826388127952627,0.20897326011865502,-0.08788118708511208,-9.491398537359089,37.42073187599523,-5.448509834029938,46.0388770935034
215.09,0.008099019390851895,-0.005685502216077762,0.003205060242235911,0.21442388298411885,-0.10144805552693005,-9.494190160653893,37.63918497513679,-5.505466162684164,45.77562204805087
215.1,0.00927879768219724,-0.006315703865121735,0.0036590347456866438,0.216702202360902,-0.0995690207646134,-9.49337883185663,37.370937390524276,-5.476340842126805,45.89027709631595
215.11,0.007842462443256879,-0.00580401786609123,0.003296304672152924,0.22583366878286057,-0.0889349922810086,-9.495958261754367,37.437022844961696,-5.649469488107593,45.81016426849285
215.12,0.007743092946644588,-0.006065238461358626,0.003583899850300158,0.21087780424144104,-0.09398160657747706,-9.493300630229088,37.421062941876194,-5.572838325865005,45.941758109789234
215.13,0.008597144902236377,-0.0061872092206243946,0.0034892173261196154,0.2030161403924048,-0.09886490211946104,-9.49180697057266,37.37160789265892,-5.446851087580049,45.75703931743648
215.14000000000001,0.00850094364170805,-0.00627123472447191,0.0024118390535853027,0.21522707252965562,-0.10523052962858094,-9.49100770625544,37.48746031129015,-5.61114757909489,45.90952794538994
215.15,0.008660918314251757,-0.00524014277325394,0.0030326477005433654,0.21234834947321424,-0.09720979927401538,-9.479561729591127,37.36871192762157,-5.5219442221271935,45.90515070257623
215.16,0.008403481508267493,-0.006281287710004505,0.003842281222667932,0.22482465706917837,-0.10187708731746033,-9.47512328000861,37.53306284855019,-5.550471652145649,45.8616789244648
215.17000000000002,0.00878944194364087,-0.006409133347240681,0.003235784529807161,0.22072334261658166,-0.08795887586216342,-9.47327608085006,37.57791095980544,-5.509494921909062,45.7161469198037
215.18,0.00836159410490392,-0.006181245496880997,0.003096026495947544,0.2077979052327467,-0.09473035592011946,-9.487913093111763,37.61711128858555,-5.367056711938485,45.78126011281783
215.19,0.00881856182532141,-0.006082246029913353,0.0038631327899784395,0.2101557738750115,-0.09582387472957864,-9.490984538731544,37.68022996642581,-5.616484319654606,45.88773482440417
215.20000000000002,0.009244990183046944,-0.005569180355839921,0.003186746262253672,0.21601392269706807,-0.09558927012739755,-9.492493295651318,37.469456012204795,-5.476627661853144,45.820745010449514
215.21,0.008477761958432698,-0.0053210697169259365,0.0036810339615182047,0.20608971743267518,-0.09741325595507104,-9.499668604662787,37.537216791914375,-5.501417221530528,45.92728848098124
215.22,0.008337965083585641,-0.005713066298907426,0.0038830949483287074,0.2231961850593108,-0.10755481190447179,-9.50030569586537,37.61266830054016,-5.618318852624651,45.91744517019583
215.23000000000002,0.009458338418509533,-0.005769760087134129,0.003580918876766484,0.20159183576942713,-0.09445275665605868,-9.488647676121024,37.50099101091898,-5.431561890688023,45.79346310661019
215.24,0.008482854903181998,-0.005644309834864084,0.0033917788967976897,0.2171226778412089,-0.10726426845997002,-9.50152462111549,37.26884195889426,-5.589460495020814,45.87676176830521
215.25,0.008328312691934635,-0.005962762057504733,0.003640116090700222,0.22766990581852642,-0.08996425786264128,-9.495983399050758,37.32106253067838,-5.5472243783374875,46.277874006558065
215.26,0.008731795998310888,-0.005481512797781436,0.003964982343952009,0.2178117337915423,-0.09876522469105095,-9.47742748038758,37.40374895868946,-5.544944371498042,45.8662843170779
215.27,0.008917209828976095,-0.005560336419380268,0.004199373998415475,0.21007156878244101,-0.09198062052989156,-9.501806952799852,37.663597345885435,-5.422268109868924,45.6631197214224
215.28,0.00836515120300208,-0.005677875851118817,0.003452034415295277,0.20892775255159532,-0.09258407760899337,-9.479273396050463,37.52731627355101,-5.304981778923439,45.95126314928197
215.29,0.008528613324467136,-0.005970272006904984,0.0032634512994712903,0.21129587908089156,-0.09936112286663584,-9.490555975790778,37.64492130389657,-5.467744963110736,45.78503424239024
215.3,0.00857229382695167,-0.005829994254164047,0.0029547039297993924,0.20887865033979616,-0.10576016569829698,-9.496845377314818,37.405587100472,-5.473367889216095,45.74747063034129
215.31,0.009007139934201058,-0.0058743956619429155,0.0025344174508704254,0.2020901323184762,-0.10404390238396116,-9.49684881290513,37.53645231935363,-5.4866317850329,45.99019169683448
215.32,0.008428293808133135,-0.005633127484080052,0.003770586832515837,0.2139667945089901,-0.0900635655737522,-9.486448099166493,37.664868472438314,-5.679758616159681,45.81868887068395
215.33,0.008371169317917542,-0.006090352686560292,0.004114399853989287,0.21355725491799046,-0.09630515251717596,-9.489257739006193,37.54330166783538,-5.532849903562095,45.89765618474508
215.34,0.007881072946230236,-0.006033745332584056,0.003177031555430385,0.21895427389796784,-0.09581372942979349,-9.495123758069765,37.38739252114105,-5.601333673169427,45.857662068830116
215.35,0.008471544698581097,-0.005895821463891101,0.0027927441188933247,0.21373871461772123,-0.08602532826539623,-9.47854300393858,37.55499809249435,-5.4878448767521695,45.70378793693377
215.36,0.009136006515593051,-0.004878820208415388,0.0035706076280393145,0.21729449594544517,-0.09821723646932752,-9.498755551988712,37.52300531507258,-5.584912289504227,45.844258681671
215.37,0.009149054165509115,-0.0062592438375775,0.002969983555915008,0.20118683198543114,-0.10627219584011827,-9.496563760788524,37.32750654956762,-5.336543134442768,45.882790045720164
215.38,0.008123426461910761,-0.005852100113701727,0.0035219280160310087,0.20590803946885616,-0.0986406853818644,-9.491201897310374,37.508740625950686,-5.5831778772945375,45.81276553973354
215.39000000000001,0.00876673404808666,-0.006281871385290921,0.0035406807995584954,0.22414216646974797,-0.10233482981310148,-9.486354152451005,37.554373306010234,-5.436982024924303,45.93860010116563
215.4,0.007684711941878236,-0.006021623077128519,0.004301249465631852,0.20909081615366373,-0.09119548734315307,-9.504622224783951,37.66632125688417,-5.495416269760482,45.70277258090132
215.41,0.008827500154634028,-0.005967181326087038,0.003952362040330676,0.21560934582535346,-0.09328617090261734,-9.496519946024913,37.67040129500351,-5.565099536963047,45.744950330615225
215.42000000000002,0.009126586241432642,-0.005843612881339955,0.003133023340199837,0.19750645653742088,-0.08682157672188089,-9.494456341965073,37.5313051917585,-5.4069522849504,46.00913425213981
215.43,0.00868784250526437,-0.006774433407645905,0.0030546995596541808,0.22118478179520368,-0.09955085368323253,-9.486518352270629,37.490936988642055,-5.602204083613273,46.03119489682107
215.44,0.008794597764550067,-0.0063182979305274126,0.003186495223478183,0.2117148363828166,-0.1010723056525793,-9.494927252997432,37.68424584602555,-5.552546702817721,45.916338126090636
215.45000000000002,0.008542740672983688,-0.005256044804279283,0.004053765489774081,0.2137625122543804,-0.1027808904034316,-9.49205174132129,37.38108364918375,-5.43915845783877,45.82735668467212
215.46,0.008294123362322455,-0.005732412165461345,0.0035266795739902585,0.20429938586409055,-0.10252828257387915,-9.497582611438572,37.525309974952215,-5.614858891752677,45.72587291427571
215.47,0.008240598905743485,-0.006443944944261883,0.0039413332527081036,0.21318713313122695,-0.0936341476908943,-9.477431051623288,37.55443797477919,-5.606041039184949,45.970408076201046
215.48000000000002,0.007907639256620032,-0.006146898807644966,0.003117070060634296,0.22371820954781063,-0.1058381834272657,-9.494594200291147,37.50333254545996,-5.579059066863606,46.09622347107541
215.49,0.008323686515702058,-0.006143612585807153,0.0038732615782048766,0.20550446861388966,-0.09004209214213954,-9.496335932789263,37.58850267619965,-5.4680386592702535,45.82529597470676
215.5,0.008197779211243605,-0.005610278194086373,0.002314146420871473,0.21118778718626455,-0.09234941882573679,-9.485426824492794,37.52068194077359,-5.405408022783633,45.83589073096008
215.51,0.009030854076785529,-0.005348926283817481,0.0030472700238939167,0.2093002031460438,-0.085162298969149,-9.496512053121549,37.50452873976975,-5.465913927400021,45.738804546718825
215.52,0.008515211789304082,-0.004658854406214769,0.0037414096563992234,0.22341001291380763,-0.0923045300757815,-9.486331834671349,37.44306001227332,-5.521919097697912,46.04019724937701
215.53,0.008039546332707065,-0.0057795859610628815,0.0030017528497715456,0.20800594933020955,-0.10697568657353274,-9.479656544218042,37.62140280769918,-5.511509777704789,46.10086405412511
215.54,0.007971345481605201,-0.005195868669610198,0.003343908809886804,0.2102640729867044,-0.09340882272706501,-9.504887265304822,37.68930685290055,-5.5919065269109725,45.94514062207966
215.55,0.008115967047637784,-0.005770669831003689,0.0030471893170809974,0.20262708735504037,-0.10115538763937959,-9.497085308037306,37.46800846559173,-5.444994389874513,45.69984696222886
215.56,0.009541129128237852,-0.005465893610898464,0.0037095701277338722,0.2212227088553028,-0.10184886719062869,-9.500616120898078,37.37124463777013,-5.627126638136193,45.96273949605527
215.57,0.008915780792825654,-0.006339199866025315,0.0031575842816384887,0.21958879135202095,-0.10435365199377172,-9.494534902588658,37.593591206915654,-5.649188344372669,45.723772895805084
215.58,0.009181858180156098,-0.005416645826734545,0.0036414416532882126,0.18920830646941753,-0.10457115127715788,-9.49647786946949,37.55169129851316,-5.401698893308515,45.9525210819167
215.59,0.007899592064918772,-0.005784430635525217,0.0032950682368139412,0.21677998870128581,-0.0817198339227072,-9.485463558331293,37.604213481017474,-5.496149656351783,45.85870584849642
215.6,0.008086576408031718,-0.005750366796473039,0.0025036305836426934,0.2085987027251577,-0.08393211865374828,-9.511544335859675,37.40269036634662,-5.4518490534057475,45.92595511223901
215.61,0.008187593864039815,-0.005717034464682452,0.0033496350470219502,0.21275961636036686,-0.0966202943684449,-9.506487849294071,37.58294833200081,-5.391282091218112,45.95335602513353
215.62,0.008402614437000012,-0.0052033660271505345,0.0031577593182505483,0.2081965902807215,-0.0902957789351354,-9.487605340031786,37.56790088969947,-5.649666180500006,45.71882487494168
215.63,0.009362956755936003,-0.00631475428791749,0.0035342141144827257,0.21687448853091806,-0.10417714366547023,-9.50647532051483,37.49242520490496,-5.471155869774593,45.77194973936004
215.64000000000001,0.008015498170987645,-0.006129996738667167,0.0029110697611859785,0.2102990751550878,-0.09926558690630662,-9.477189967708329,37.498038689811025,-5.394874369212802,45.70074982291023
215.65,0.00872865030255538,-0.006521147597955612,0.0031325094751736386,0.22003053783270163,-0.09270928250903199,-9.487194841539027,37.472698895145115,-5.5656997428156405,45.78090399137517
215.66,0.008210283404646206,-0.006126982850938619,0.0034848734279781996,0.2331869235322623,-0.08224914543795239,-9.505246808384722,37.633426427843546,-5.537506096128092,45.94370310361795
215.67000000000002,0.00886642937168567,-0.006385240196111861,0.003120877695516821,0.1919237219496645,-0.09613069757595791,-9.478031828240685,37.709235281498565,-5.594532670337941,46.00212975490809
215.68,0.008315726507549283,-0.005559570378096933,0.003785714497303562,0.20198875301392602,-0.10250208660711758,-9.488882693637104,37.584942999782285,-5.500962640387779,45.855776252821876
215.69,0.008664727879793822,-0.00557250219619743,0.003563255244001799,0.2007792939437958,-0.10748788233378145,-9.484999875611491,37.48431778587683,-5.466414441687975,45.76144328221739
215.70000000000002,0.008487656935615292,-0.00575129006437085,0.002878610389516884,0.20644804072592338,-0.09583828615039473,-9.49081870264265,37.5437480927795,-5.5091945783923935,45.8883806601576
215.71,0.008370360496615928,-0.005701770422236144,0.0034303808062442777,0.2164145929859432,-0.09418191186493065,-9.4868367944991,37.533753903047895,-5.437436870031119,46.06709575387516
215.72,0.008752567294275452,-0.00592572211802216,0.0033283627236411375,0.2114606524749131,-0.1020674964329321,-9.502124672783326,37.47064983319818,-5.342617648920017,45.78362423326569
215.73000000000002,0.00851710143223639,-0.005723887689449547,0.0038609791523801567,0.19386695534889462,-0.1101970180043417,-9.501721024445617,37.65009529904855,-5.601146258596437,46.05550096817884
215.74,0.008116459110294863,-0.0058049371384881025,0.003599115038185392,0.22375159896186975,-0.1089995769823748,-9.49059586139624,37.474114042852165,-5.537991482613603,45.8275186504503
215.75,0.00844550003047493,-0.005614703589821788,0.002832961762174316,0.2185899559616847,-0.09460638439226317,-9.502677163900147,37.46014515998576,-5.451903359809907,45.878107783121315
215.76,0.008440308592223564,-0.006336304991212715,0.003431033995349391,0.21939194384849892,-0.09946214043437195,-9.493074796331552,37.62187618505961,-5.438017107698936,45.82198107157239
215.77,0.008996256935308517,-0.0056044945437329265,0.003404020471957752,0.21338107366561726,-0.10183624315553068,-9.499400363617967,37.35453552322554,-5.451691962266777,45.905865193272724
215.78,0.008436969258315254,-0.00578831545769821,0.003223069720540807,0.2175863619809058,-0.09211962482298672,-9.492735169146009,37.61486920045071,-5.512310414412125,45.78931417193831
215.79,0.008265191696277404,-0.005538361403570691,0.0033139013817822427,0.21101469380567453,-0.09362111438274578,-9.485267490093172,37.376778265664,-5.551747635822633,46.00628810756236
215.8,0.008413828447133693,-0.005493462965298903,0.003458879762529569,0.2141812259856501,-0.09952372931843327,-9.494332348576659,37.60075121714299,-5.472844624140798,46.01785521684978
215.81,0.00867213136650142,-0.006188505025004071,0.0030523722051726044,0.2167071364698787,-0.1111498835177209,-9.502033885209336,37.507162141106456,-5.454417204701984,45.854981081435994
215.82,0.009104060450476273,-0.00571803215350734,0.0034067863978290893,0.2050754497615229,-0.1140112965046643,-9.501977489357504,37.60609292845746,-5.4796919325811,45.798576758664474
215.83,0.00832368573200838,-0.0058788128956074525,0.003514773777494889,0.21815382755449078,-0.10044741878230572,-9.499209657415692,37.62792804388245,-5.509400175500655,45.91385560412734
215.84,0.007899603266358973,-0.0056982928794424275,0.004207486652511268,0.21024829107750695,-0.09844413731763495,-9.488716951103138,37.52823127514085,-5.597910167079145,45.785759769231085
