t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,bgx,bgy,bgz
24.36,74.78670969762604,48.072953039045046,46.437643033401855,178.62170299093614,95.87826859063559,-85.21198446964867,0.031716123340573804,0.03747337766649351,-0.01804224214562124
24.37,74.79023607036409,47.83240749931724,46.86214030131969,178.65918466553234,95.41335814101095,-84.38045793803269,0.03169104878085372,0.037455339328867764,-0.018049535150951247
24.38,74.80391604841732,47.59572497136948,47.30513707874107,178.70907358365463,94.95246138406564,-83.53130857688629,0.03166433780129364,0.037426922850123286,-0.018058519572783767
24.39,74.79234063950534,47.342426327111625,47.72115013559658,178.73592947291738,94.47511176671999,-82.7100005042647,0.03164075863040737,0.037413729951209646,-0.01807754306156661
24.400000000000002,74.77445208270117,47.13014499115574,48.1367875635464,178.7586636060524,94.03895519471062,-81.88990692334099,0.03162042713185328,0.03739251301545844,-0.018065538991817027
24.41,74.7710262095152,46.930762154495866,48.56459326530688,178.79802115545144,93.61588524610437,-81.05846562726353,0.03159537007924264,0.037360831989382434,-0.018042884611974723
24.42,74.76051644003175,46.70418410876704,48.99433776353226,178.8324251828498,93.16582050535295,-80.22588818453998,0.03157524153043911,0.03733466221678622,-0.018040896442424594
24.43,74.71327095438212,46.497638655892935,49.38447282335957,178.83219380443597,92.73600097269896,-79.4337053108378,0.03155981290934278,0.03732380167181074,-0.01801918376972529
24.44,74.69698751898535,46.279728010877534,49.80567683614154,178.86499501081911,92.29504096668948,-78.61122147967869,0.03153556578888922,0.03730020996192061,-0.018009998545536064
24.45,74.67822305601987,46.081420025822695,50.21859099275396,178.89735623031928,91.87392034788064,-77.79777874363982,0.031508316472543735,0.03727463771087799,-0.017986730963873338
24.46,74.65645888017312,45.849223159632096,50.637656140831375,178.92872955962716,91.4191594881939,-76.9789198717081,0.03148759808855311,0.037252109496486385,-0.01798876497764797
24.47,74.65274554735315,45.65638121304233,51.06470209614493,178.9801366065189,91.0040140055662,-76.15279903257358,0.031454244884295296,0.03721828755855965,-0.017963527837037793
24.48,74.63581270598495,45.40890036592248,51.48800273398823,179.02027833524826,90.53450180083642,-75.33112669799651,0.03142844836536598,0.03719485684604172,-0.017979341798941336
24.490000000000002,74.58599042107082,45.16446304289471,51.88334061402558,179.02945638479662,90.06831692292104,-74.53810501279202,0.03141156322291101,0.03718556746791998,-0.01798829612552141
24.5,74.57443228396998,44.949487663756486,52.31007916706622,179.07879617293568,89.63188931876148,-73.71435560297006,0.03137973141649562,0.0371543089337649,-0.017978870852565505
24.51,74.53810452482911,44.72300825381123,52.713528889246895,179.1052360030347,89.18426444315001,-72.9145533765465,0.0313555990298563,0.03713670501554354,-0.01797665425854067
24.52,74.52071777842897,44.50501119216409,53.13688682740795,179.1524588243782,88.74544000649252,-72.09548703323976,0.03132585494912739,0.03710660040360805,-0.017971069671460112
24.53,74.481701818087,44.266368314792715,53.550750064516585,179.1798669606331,88.28629907731893,-71.28654557419968,0.03130385720042674,0.037085140649795595,-0.017980910938267074
24.54,74.44328566131452,44.04061156605303,53.96088990639349,179.2096622101641,87.84038473320123,-70.48194411050977,0.03128043259713084,0.03706467712531575,-0.01797859997638807
24.55,74.42076373969468,43.81060987586773,54.38262382663329,179.25711201066426,87.39057693732997,-69.66635191357375,0.03125209592971377,0.03703513141106526,-0.017981121979866274
24.560000000000002,74.3716468057478,43.618060297683144,54.77662899448307,179.27970034086476,86.97858367583326,-68.8790788826191,0.031228495537578123,0.037012656177254015,-0.01795300377832633
24.57,74.29967209903884,43.42461238419509,55.163415069840525,179.28113788158205,86.56606533284159,-68.09960274515703,0.031214127999398624,0.03699530940627021,-0.01792503612113705
24.580000000000002,74.22195543297727,43.208310684336666,55.550035726398896,179.27851409754803,86.13107718679188,-67.32085752936918,0.031203749862682543,0.036982507116038725,-0.01791336950386155
24.59,74.16623903573678,42.99362395747064,55.94337900784488,179.29954507345428,85.69809862391432,-66.53594320351483,0.0311799255899012,0.03696599578187748,-0.017905645129546004
24.6,74.12757575591289,42.76206243162278,56.36266893919758,179.3392577148249,85.248650395739,-65.725624060269,0.031155406202832532,0.03693863762076692,-0.01791160882519619
24.61,74.10155902199801,42.54309305906766,56.786865216651144,179.3932197027994,84.81220987393543,-64.91092902262768,0.031122793351866237,0.03690778747962641,-0.01790950159713749
24.62,74.03866634676719,42.35543046270439,57.185268106087456,179.41188299391658,84.40750199592307,-64.1225467412128,0.0311058976997561,0.036881864852106955,-0.0178812996497162
24.63,73.96347206094424,42.10950735587413,57.581078333096066,179.41979654926956,83.9449696839049,-63.33726570013874,0.03109456087609735,0.03687025711647416,-0.01789576986039137
24.64,73.93859912519329,41.88258158274611,57.99894543227583,179.4795581420771,83.50188088445348,-62.530425863664284,0.031057472894444965,0.036840083078093874,-0.017898089012489748
24.650000000000002,73.90502013938728,41.66634173246263,58.42666923499629,179.5321153626197,83.06993418183879,-61.71421718445084,0.031027018524149894,0.03680206123479715,-0.01789481123938505
24.66,73.85257392535223,41.4615592557163,58.82952733586169,179.56728219674181,82.64991091377351,-60.92335213318331,0.03100167260450946,0.03677515399933086,-0.017882877659440095
24.67,73.78080318564427,41.23889214556479,59.22894649808285,179.58457668047464,82.21247885138156,-60.13639428934637,0.03098623039105664,0.0367535878502848,-0.01788225007248395
24.68,73.71274461888031,41.032478598992455,59.61977644862327,179.6070110112997,81.7917858598995,-59.35848454228918,0.030960537316235687,0.036734417649208,-0.01786916586220561
24.69,73.68263563031506,40.809969073622185,60.0458825552495,179.66879825474655,81.35549195451641,-58.54574841044656,0.030924595481718622,0.03669799585196033,-0.017873672505224217
24.7,73.60774715394037,40.56093785335795,60.44069690235602,179.68718516259872,80.89318086513195,-57.76474496184592,0.030907957635683516,0.03668301449310934,-0.01789176618209573
24.71,73.57531746134094,40.354561322954694,60.85540334584392,179.74938597794164,80.47403831003189,-56.964281755618316,0.030868617225677377,0.03664841832751502,-0.017883334405893844
24.72,73.49975544519609,40.14060009057339,61.25274349096079,179.76978571494197,80.04783411753813,-56.181608860606204,0.03085294392398111,0.03662476067707612,-0.017879478054280362
24.73,73.44770551873806,39.91264897638321,61.6691922001806,179.81500505466755,79.60817221369769,-55.38024334398629,0.030825210685958306,0.036594234074530926,-0.01788844753833225
24.740000000000002,73.38141077695843,39.70231305056312,62.063865894017866,179.8472635027392,79.18666665936233,-54.60106096701349,0.030798915272400224,0.036568712118233926,-0.017881367690786264
24.75,73.27874812499057,39.495130328675394,62.448169786432395,179.84441451424124,78.76886434463343,-53.8326489462273,0.03079343293009773,0.03654940294476608,-0.017869350457978064
24.76,73.17196577454767,39.30028767187093,62.82027786255279,179.83868298677032,78.36396088813198,-53.07682597239128,0.030783361753534393,0.0365347120520836,-0.017845207147944495
24.77,73.08596250886012,39.068986967225285,63.212571262101115,179.8549445220646,77.92316681639439,-52.3012038237827,0.0307654026526215,0.03651692128990105,-0.017854060227479058
24.78,72.97414282313682,38.83070156196065,63.58203288037795,179.84658056323815,77.47596399714888,-51.5487927619706,0.030757146638314994,0.03651268082136131,-0.01786266737265398
24.79,72.87590554100895,38.63535518083705,63.96496376946064,179.85296700807734,77.07228455575823,-50.783285127429544,0.03074235749615467,0.03648998059318039,-0.017842793124395472
24.8,72.79511451119696,38.4276958763786,64.36337993520925,179.87794490264062,76.65688482449418,-50.00265853939245,0.03072179150144022,0.03646389487627081,-0.017835154077417436
