t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
22.87,-148.81571228729464,-73.33494734617403,-138.3360037876139,-0.167633827154031,0.1633773910475545,0.41952925184787454,-0.9642953140594979,0.14993259179960514,0.2683010920139087,-0.5571128122703425,-0.8048604708816001,-0.11713196155672383,29.55044754260598
22.88,-148.07202503951697,-73.29369908272272,-139.21879302265393,-0.17468715149246328,0.1661182878689503,0.4217782778672758,-0.9655779208002161,0.14156334365822223,0.2648838152079676,-0.5639870245980602,-0.8023352456059372,-0.11066861477292357,29.55148300309551
22.89,-147.33157154557853,-73.24979103008616,-140.10079966108356,-0.176956473554114,0.16983569452482014,0.4199055042792268,-0.9667331651261406,0.1418655239147692,0.23493953536876214,-0.5653265273392621,-0.8254828544049891,-0.1025497318540887,29.552517325714312
22.900000000000002,-146.59457395770855,-73.20321967107367,-140.9817988199503,-0.18143752414851072,0.16859988285306393,0.4210395302456001,-0.960646910907772,0.15479275588500224,0.23457226164169337,-0.5830099168689706,-0.794633163257167,-0.11122031150080669,29.553550510203806
22.91,-145.8612514072395,-73.1539828761395,-141.86156856041862,-0.18389218792574608,0.16925730523019503,0.42117973273258186,-0.9667046209415131,0.17411591949644298,0.22855844073894468,-0.6029627738484102,-0.8046658733223354,-0.11693938191570892,29.554582556305697
22.92,-145.13181959898063,-73.10207989287133,-142.73989029404697,-0.18906559068947576,0.17512157053671584,0.4159129545960373,-0.9331804752267668,0.18199193631759358,0.2290629851282535,-0.5881987695050581,-0.7975962624456618,-0.11155181192095494,29.555613463761972
22.93,-144.40649042143943,-73.04751133244379,-143.61654917321457,-0.19315135004869083,0.17028805184938103,0.42942072256185776,-0.942205009548486,0.17206054338474197,0.23973864308317575,-0.5806539406762617,-0.7925935605805117,-0.14048966755204703,29.556643232314904
22.94,-143.68547157450587,-72.99027915314042,-144.49133446408248,-0.19636039421604687,0.17511113931575137,0.42427847217945575,-0.9446932290400557,0.1463925256346005,0.21548032473360149,-0.5968459258634045,-0.7957974456287311,-0.11410999915408712,29.557671861707053
22.95,-142.96896621606717,-72.93038664106271,-145.36403990061993,-0.19511089932150244,0.17732875770912698,0.42768553630271844,-0.9452963865854054,0.18490478543403222,0.23396625125147463,-0.5971699446648262,-0.8053039933277618,-0.136595351948246,29.55869935168126
22.96,-142.257172628864,-72.86783838815518,-146.23446401838646,-0.20240264164076463,0.17970789095824222,0.42522999061107347,-0.9456556823483029,0.17730850427113012,0.21924368434677494,-0.5989701429666503,-0.7837249611288915,-0.13840531836392134,29.559725701980653
22.97,-141.55028390873338,-72.80264026769026,-147.102410466922,-0.20668255257634985,0.18147254530898976,0.42512863628372916,-0.9596922705440573,0.1602767980858172,0.23319512519085572,-0.6130670154271648,-0.7784600594273122,-0.13202294134737352,29.560750912348645
22.98,-140.84848767521495,-72.7347994073642,-147.9676882997709,-0.2126359214656273,0.18641856671322185,0.4252178978034914,-0.9661564818410184,0.15994968497695536,0.24980085464852467,-0.5837891345662499,-0.8031452110852975,-0.14223590874883169,29.56177498252893
22.990000000000002,-140.15196580532273,-72.66432416016625,-148.83011224133486,-0.21485377309847256,0.18378798037882207,0.42863231621726217,-0.9563394198595443,0.1970381757333758,0.21435044550694216,-0.6036724771419247,-0.794766807670496,-0.1412133269475276,29.562797912265495
23.0,-139.4608941911091,-72.5912240731885,-149.68950292992912,-0.22346993478834434,0.18583200585281992,0.4280060821350733,-0.9400408232471931,0.19357271038803747,0.2292084170843008,-0.6088876430729604,-0.8020640607564766,-0.16012202332906353,29.563819701302606
23.01,-138.7754425214765,-72.5155098545519,-150.54568713658682,-0.22363277990091426,0.1893685922152341,0.4296780097322596,-0.96675920089534,0.19439385696957692,0.22107014183689347,-0.6039194946984799,-0.7706811420946841,-0.1487854146973291,29.564840349384816
